cpu_percent,cpu_freq,ram_percent,ram_uso,cpu_ociosidade_dias,ram_livre,dataHora,maquinaId
42.8,2501.0,86.8,7307476992,0,1115545600,2025-04-09 21:46:58,3
12.6,1600.0,86.9,7316811776,0,1105891328,2025-04-09 21:46:59,3
8.0,1600.0,86.8,7314993152,0,1107750912,2025-04-09 21:47:00,3
12.0,2500.0,86.9,7316733952,0,1106014208,2025-04-09 21:47:01,3
11.6,2501.0,86.9,7317504000,0,1105244160,2025-04-09 21:47:02,3
24.2,2501.0,86.8,7314587648,0,1108074496,2025-04-09 21:47:03,3
10.0,2501.0,86.8,7313215488,0,1109446656,2025-04-09 21:47:04,3
12.5,1600.0,86.8,7310282752,0,1114038272,2025-04-09 21:47:05,3
7.4,2501.0,86.7,7305584640,0,1117474816,2025-04-09 21:47:06,3
5.5,1400.0,86.8,7308070912,0,1114660864,2025-04-09 21:47:07,3
